# generation best_length mean_best_half
355 68.2512248306 73.6102523107
356 68.2512248306 73.9578691493
357 68.2512248306 74.4041827578
358 68.2512248306 73.5001377450
359 68.2512248306 72.5828393168
360 68.0778741622 72.6149805931
361 68.0778741622 72.2937904820
362 67.8712719789 72.2305626246
363 67.8712719789 72.5823531027
364 67.8712719789 72.1342795911
365 67.8712719789 72.1496906402
366 67.8712719789 72.0012948285
367 67.8712719789 71.9329075173
368 67.8712719789 71.9378597726
369 67.8712719789 71.2369506828
370 67.8712719789 71.3184563752
371 67.8422105509 70.7962350790
372 67.8422105509 70.8272952638
373 67.8422105509 71.2178636612
374 67.8422105509 72.1484495300
375 67.8422105509 71.1724860414
376 67.8422105509 71.5526556957
377 67.8422105509 71.6754944243
378 67.8422105509 71.8461643402
379 67.8422105509 71.3858936608
380 67.8422105509 70.9428044966
381 67.8422105509 70.6880340206
382 67.8422105509 71.1480819249
383 67.8422105509 70.7571549705
384 67.8422105509 70.4223196984
385 67.8422105509 70.7152258596
386 67.8422105509 70.9240196656
387 67.8422105509 71.0685311931
388 67.8422105509 70.7359788193
389 67.8422105509 69.8252999410
390 67.8422105509 70.7339431931
391 67.8422105509 70.7099787458
392 67.8422105509 70.4942951078
393 67.8422105509 70.6219974761
394 67.8422105509 70.8371015977
395 67.8422105509 71.0906268319
396 67.8422105509 71.1500119511
397 67.8422105509 71.0148499894
398 67.8422105509 70.5586200286
399 67.8422105509 70.9119531936
400 67.8422105509 70.8089167770
401 67.8422105509 70.6031539816
402 67.8422105509 71.0782613684
403 67.8422105509 71.1968759646
404 67.8422105509 71.8224256618
405 67.8422105509 71.4231418594
406 67.8422105509 71.6919226803
407 67.8422105509 71.2931062530
408 67.8422105509 71.0916446000
409 67.8422105509 71.2048560072
410 67.8422105509 70.6667164068
411 67.8422105509 70.9505127889
412 67.8422105509 70.7242081486
413 67.8422105509 70.7845928582
414 67.8422105509 71.1545745102
415 67.8422105509 71.5751242190
416 67.8422105509 71.4290493923
417 67.8422105509 70.9827946685
418 67.8422105509 70.7707409020
419 67.8422105509 70.7631236989
420 67.8422105509 70.8406204835
421 67.8422105509 70.5436570471
422 67.8422105509 70.2026624442
423 67.8422105509 71.0138843703
424 67.8422105509 70.9835850491
425 67.8422105509 71.0148708837
426 67.8422105509 70.6431221233
427 67.8422105509 71.1798098727
428 67.8422105509 71.4282121867
429 67.8422105509 71.2141550380
430 67.8422105509 71.0135346097
431 67.8422105509 71.2634266551
432 67.8422105509 70.7143096020
433 67.8422105509 70.3419952518
434 67.8422105509 70.7691609634
435 67.8422105509 71.0082225858
436 67.8422105509 70.8117597313
437 67.8422105509 70.7426799363
438 67.8422105509 70.4282176382
439 67.8422105509 70.6145321357
440 67.8422105509 71.1016188711
441 67.8422105509 70.7271201393
442 67.8422105509 70.8171562166
443 67.8422105509 71.2301722453
444 67.8422105509 71.2719750722
445 67.8422105509 70.9953617667
446 67.8422105509 70.7367279805
447 67.8422105509 71.3753270501
448 67.8422105509 71.2163839935
449 67.8422105509 71.3919755447
450 67.2003344492 70.8091714241
451 67.2003344492 70.9988838107
452 67.2003344492 71.4392626099
453 67.2003344492 73.8006763715
454 67.2003344492 74.6944397698
455 67.2003344492 76.8543320728
456 67.2003344492 77.7388936454
457 67.2003344492 77.5031213387
458 67.2003344492 76.3717773107
459 67.0849573999 75.1451101986
460 67.0849573999 73.8034427925
461 67.0849573999 72.3926176790
462 67.0849573999 71.9704374155
463 67.0849573999 71.7599738271
464 67.0849573999 71.6846659878
465 67.0849573999 70.9735587606
466 67.0849573999 70.6007622484
467 67.0849573999 70.6177176966
468 67.0849573999 70.8470821245
469 67.0849573999 70.6432664244
470 67.0849573999 70.4442128440
471 67.0849573999 70.7543477377
472 67.0849573999 70.4163604803
473 67.0849573999 70.5751314950
474 67.0849573999 69.9322389545
475 67.0849573999 70.0153530240
