# generation best_length mean_best_half
309 78.2513488315 81.2482095834
310 78.2513488315 80.9723317030
311 78.2513488315 81.8896550441
312 78.0921804441 81.0628165868
313 78.0796081985 80.6390937028
314 77.9777805333 81.1018536924
315 77.5546214825 80.8706515559
316 77.5546214825 81.1457622443
317 77.4402215717 81.3677688021
318 77.4402215717 80.4486215066
319 77.4402215717 80.5724687184
320 77.4012445252 80.1224862643
321 76.0019268332 80.2703047311
322 76.0019268332 81.2563231343
323 76.0019268332 81.6224611409
324 76.0019268332 82.6848319494
325 76.0019268332 84.6749425768
326 76.0019268332 85.0692646104
327 76.0019268332 85.3924883778
328 76.0019268332 87.7581259643
329 76.0019268332 87.7851502282
330 76.0019268332 85.8390481422
331 76.0019268332 83.4441008231
332 76.0019268332 81.5631784567
333 76.0019268332 80.7655769036
334 76.0019268332 80.4378432080
335 75.9113656413 80.2598224528
336 75.9113656413 79.4407458172
337 75.3074203928 79.5476691239
338 75.3074203928 79.2332154158
339 75.2168592009 79.7710069625
340 75.2168592009 79.1335374826
341 75.2168592009 79.1513520649
342 75.2168592009 78.7285984705
343 75.2168592009 78.7908265770
344 75.2168592009 78.4692441854
345 75.2168592009 78.1927435550
346 75.2168592009 77.9928958757
347 74.9538990884 77.8086927767
348 74.9538990884 77.9804118667
349 74.9538990884 78.3746761403
350 74.9538990884 78.3393522589
351 74.9538990884 78.2223792361
352 74.9538990884 77.6487619984
353 74.5255963787 77.7615281638
354 74.5255963787 77.7485290170
355 74.5255963787 77.7742990009
356 74.5255963787 77.5918902160
357 74.5255963787 77.8893653486
358 74.5255963787 77.4504735648
359 74.5255963787 76.4709084149
360 74.5255963787 76.7708559711
361 74.5255963787 77.0146234478
362 74.5255963787 77.2736742403
363 74.5255963787 77.3685921335
364 74.5255963787 77.2191264355
365 74.0689136991 77.2416415832
366 74.0689136991 77.7859154126
367 74.0689136991 79.0349803374
368 74.0689136991 81.2040101345
369 74.0689136991 82.1747076498
370 74.0689136991 83.2550610750
371 74.0689136991 83.8364533652
372 74.0689136991 84.5839911951
373 74.0689136991 84.6111281415
374 74.0689136991 84.5683548637
375 73.8711182451 81.6700068782
376 73.8711182451 81.0941562991
377 73.8711182451 80.5486013428
378 73.8711182451 80.5046215631
379 73.5585542412 79.1854648512
380 73.5585542412 78.0763242162
381 73.5585542412 77.3250423136
382 73.5585542412 77.6401026246
383 73.5585542412 76.9881880527
384 73.5585542412 76.3078312189
385 73.5585542412 76.3689967510
386 73.4672620454 76.4809196187
387 73.4672620454 76.5957960953
388 73.4672620454 76.2291359605
389 73.4672620454 75.6020810411
390 73.2488849688 76.4671267316
391 73.2488849688 76.2984550080
392 73.2488849688 75.8358109246
393 73.2488849688 75.9147682903
394 73.2488849688 76.0885764737
395 73.2488849688 76.2788592791
396 73.2488849688 76.5836254799
397 73.2488849688 76.4644973540
398 73.2488849688 75.9588926784
399 73.2488849688 76.4579663087
400 73.2488849688 76.2121377073
401 72.9282341033 76.0192825469
402 72.9282341033 76.5297536017
403 72.6326501224 76.4423472296
404 72.6326501224 76.9088729886
405 72.6326501224 76.2535344407
406 72.6326501224 76.7170346837
407 72.6326501224 76.0090434654
408 72.6326501224 76.0114230984
409 71.9230204207 75.7670290630
410 71.9230204207 75.3412234952
411 71.9230204207 75.6787277651
412 71.9230204207 75.2868989550
413 71.9230204207 75.0124788207
414 71.9230204207 75.3339236481
415 71.9230204207 75.7466885625
416 71.7782183131 75.8625679704
417 71.7782183131 75.3534084583
418 71.7782183131 74.9870345458
419 71.7782183131 75.0000521673
420 71.7782183131 75.1155264788
421 71.7782183131 74.4660307458
422 71.7782183131 74.0906792506
423 71.7782183131 75.0015395049
424 71.7782183131 74.8761455836
425 71.7782183131 74.8896021240
426 71.7782183131 74.4276988576
427 71.7782183131 75.0549558387
428 71.7782183131 75.4008253430
429 71.7782183131 75.0447225955
430 71.3301278559 74.6447169467
431 71.3301278559 74.7632747632
432 71.3301278559 74.3844823054
433 71.3301278559 73.8646264878
434 71.3301278559 74.0173888326
435 71.3301278559 74.4490195910
436 71.3301278559 74.1894644181
437 71.0109663349 73.8826095654
438 71.0109663349 73.6715732299
439 71.0109663349 73.6873773437
440 71.0109663349 74.2121324433
441 71.0109663349 73.8923395418
442 71.0109663349 74.1899544632
443 71.0109663349 74.4326175901
444 71.0109663349 74.6889222147
445 71.0109663349 74.2015880328
446 71.0109663349 73.8529018333
447 71.0109663349 74.6037588678
448 71.0109663349 74.2001901848
449 71.0109663349 74.2900213785
450 71.0109663349 73.9649212908
451 71.0109663349 73.8193198752
452 71.0109663349 73.4210038192
453 71.0109663349 73.7991881288
454 71.0109663349 73.2991941687
455 71.0109663349 73.8240242146
456 71.0109663349 74.0927581305
457 71.0109663349 74.1328814898
458 71.0109663349 73.4395817700
459 71.0109663349 73.5914959294
460 71.0109663349 73.1954840197
461 71.0109663349 73.1626073667
462 71.0109663349 73.4503726483
463 71.0109663349 73.7183222903
464 71.0109663349 73.8413797824
465 71.0109663349 73.4284374816
466 71.0109663349 73.2689544648
467 71.0109663349 73.6968980747
468 70.6894505710 73.8921153668
469 70.6894505710 73.7345264780
470 70.6894505710 73.6154361870
471 70.6894505710 74.0952321350
472 70.6894505710 74.0088826141
473 70.6894505710 73.8398846706
474 70.6894505710 73.3301710608
475 70.6894505710 73.5680226881
476 70.6894505710 73.3870446076
477 70.6894505710 73.2997067057
478 70.6894505710 74.1597916031
479 70.6894505710 74.7169444491
480 70.6894505710 74.4085692000
481 70.6894505710 74.0934861999
482 70.6894505710 73.3775700190
483 70.6894505710 73.7204937877
484 70.6894505710 73.2150522906
485 70.6725318901 73.1565869319
486 70.6725318901 72.7895326035
487 70.4685661665 72.9384521653
488 70.2880880169 72.7788488771
489 70.2711693360 73.2091253948
490 70.2711693360 73.3658548941
491 70.2711693360 73.6865455701
492 70.2711693360 73.5693849869
