# step r x y z
318 20.0717 6.48246 -2.73735 18.7978
319 21.2417 9.33863 -3.93087 18.6694
320 21.2417 9.33863 -3.93087 18.6694
321 21.2417 9.33863 -3.93087 18.6694
322 21.5356 7.58682 -4.17176 19.7185
323 20.9512 6.32746 -6.05574 19.0327
324 18.1058 4.62381 -5.19429 16.7171
325 18.1058 4.62381 -5.19429 16.7171
326 18.1058 4.62381 -5.19429 16.7171
327 19.0648 6.4946 -6.916 16.5364
328 19.5597 6.74504 -7.90216 16.5723
329 19.5597 6.74504 -7.90216 16.5723
330 17.9097 8.35994 -6.22809 14.563
331 17.9097 8.35994 -6.22809 14.563
332 17.8639 7.06224 -4.98476 15.6332
333 18.9266 4.95399 -4.63945 17.6678
334 18.9266 4.95399 -4.63945 17.6678
335 18.9266 4.95399 -4.63945 17.6678
336 18.9266 4.95399 -4.63945 17.6678
337 20.3313 7.83977 -6.94886 17.4245
338 18.7848 8.91664 -5.37046 15.6371
339 18.2923 9.57753 -7.92764 13.4176
340 14.5894 7.55689 -6.436 10.6922
341 11.8562 4.60009 -6.82651 8.53266
342 12.2332 4.73021 -9.56411 5.98371
343 11.7045 4.23307 -7.19424 8.20479
344 11.3346 4.33745 -4.99895 9.20169
345 10.9788 6.39087 -2.42573 8.59112
346 10.9788 6.39087 -2.42573 8.59112
347 10.9788 6.39087 -2.42573 8.59112
348 11.7289 4.6517 -5.08262 9.49189
349 12.9746 6.41778 -2.37295 11.0236
350 12.9746 6.41778 -2.37295 11.0236
351 12.9746 6.41778 -2.37295 11.0236
352 12.9746 6.41778 -2.37295 11.0236
353 13.2105 7.17196 -1.2743 11.0207
354 13.2105 7.17196 -1.2743 11.0207
355 13.4823 6.77573 0.244498 11.6535
356 12.3639 7.11978 -0.311106 10.1034
357 10.7424 4.24137 2.67505 9.50018
358 10.7424 4.24137 2.67505 9.50018
359 11.0531 5.71297 3.53006 8.77907
360 11.0531 5.71297 3.53006 8.77907
361 7.57583 3.37731 0.900221 6.72135
362 8.75464 1.04122 0.526468 8.67654
363 8.75464 1.04122 0.526468 8.67654
364 8.75464 1.04122 0.526468 8.67654
365 8.75464 1.04122 0.526468 8.67654
366 8.75464 1.04122 0.526468 8.67654
367 8.07459 -1.22971 1.94227 7.74044
368 5.41414 1.39605 1.30684 5.06518
369 5.40269 -1.36426 2.42998 4.62851
370 3.04482 0.255869 -0.300773 3.0191
371 3.04482 0.255869 -0.300773 3.0191
372 3.04482 0.255869 -0.300773 3.0191
373 3.04482 0.255869 -0.300773 3.0191
374 4.53243 1.39384 -2.81361 3.26859
375 6.23128 -0.976249 -3.78519 4.85264
376 6.23128 -0.976249 -3.78519 4.85264
377 4.54263 1.63083 -3.21283 2.76652
378 4.54263 1.63083 -3.21283 2.76652
379 4.54263 1.63083 -3.21283 2.76652
380 4.54263 1.63083 -3.21283 2.76652
381 6.2998 0.655235 -2.46185 5.76172
382 6.2998 0.655235 -2.46185 5.76172
383 4.44594 -1.29181 -0.0430637 4.25391
384 4.14296 0.453513 -0.381178 4.10038
385 4.14296 0.453513 -0.381178 4.10038
386 6.67416 0.381685 2.20993 6.28609
387 6.67416 0.381685 2.20993 6.28609
388 6.67416 0.381685 2.20993 6.28609
389 6.67416 0.381685 2.20993 6.28609
390 6.67416 0.381685 2.20993 6.28609
391 5.96067 -0.203024 1.10552 5.85373
392 6.60445 2.57263 -0.172189 6.08035
393 8.63093 1.98628 -1.69478 8.2265
394 8.63093 1.98628 -1.69478 8.2265
395 10.9894 0.461422 0.647624 10.9606
396 10.9894 0.461422 0.647624 10.9606
397 8.85203 1.59863 1.28023 8.61184
398 8.85203 1.59863 1.28023 8.61184
399 8.85203 1.59863 1.28023 8.61184
400 7.00771 -0.558772 1.75563 6.76118
401 6.19635 -3.10503 0.297214 5.35398
402 4.44339 -0.564961 -0.821801 4.33003
403 4.44339 -0.564961 -0.821801 4.33003
404 4.44339 -0.564961 -0.821801 4.33003
405 2.25408 0.512267 1.24441 1.80829
406 2.25408 0.512267 1.24441 1.80829
407 5.18557 -1.48552 3.40545 3.61749
408 3.60709 -0.292476 2.10076 2.9176
409 3.60709 -0.292476 2.10076 2.9176
410 3.60709 -0.292476 2.10076 2.9176
411 4.05489 -0.167653 3.59488 1.86838
412 4.55908 -0.706322 1.83817 4.11186
413 4.55908 -0.706322 1.83817 4.11186
414 5.52628 -2.70122 1.90701 4.42792
415 6.95458 -0.929611 1.78295 6.65756
416 6.95458 -0.929611 1.78295 6.65756
417 4.82157 0.663697 0.221499 4.77054
418 4.82157 0.663697 0.221499 4.77054
419 4.82157 0.663697 0.221499 4.77054
420 4.82157 0.663697 0.221499 4.77054
