#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263           0 7.39187e-05 4.13195e-05
           5    0.884913 0.000495208  0.00166537 0.000288947
           5    0.910562   0.0235584   0.0271234 0.000824332
           5    0.936212    0.184247    0.175657   0.0026423
           5    0.961861    0.572247     0.57026  0.00387367
           5    0.987511     1.22866     1.21267  0.00546591
           5     1.01316     1.83499     1.86558   0.0109503
           5     1.03881     2.31897     2.34762   0.0117159
           5     1.06446     2.53996     2.55413   0.0132399
           5     1.09011     2.52104     2.54928   0.0116492
           5     1.11576     2.43458     2.41927  0.00394188
           5     1.14141     2.21178      2.1896     0.01476
           5     1.16706     1.90798     1.95745    0.014101
           5     1.19271     1.74347      1.7517  0.00962429
           5     1.21836     1.53363     1.54742   0.0102908
           5     1.24401     1.37633     1.38504   0.0133565
           5     1.26966     1.22782     1.23617  0.00667697
           5     1.29531     1.08568     1.10481  0.00618574
           5     1.32096      1.0254     1.01071  0.00536195
           5     1.34661    0.944672    0.942028  0.00606936
           5     1.37226     0.87596    0.872913  0.00428981
           5     1.39791    0.839752    0.818971  0.00539142
           5     1.42355    0.809672    0.785511  0.00626592
           5      1.4492    0.749376    0.740733  0.00473129
           5     1.47485    0.720461    0.710648  0.00369723
           5      1.5005    0.706988    0.693502  0.00441046
           5     1.52615    0.705371    0.681915  0.00549816
           5      1.5518    0.690644    0.677197  0.00517182
           5     1.57745     0.68872    0.668284  0.00652572
           5      1.6031    0.675051    0.670343  0.00509018
           5     1.62875    0.699355    0.686791  0.00646203
           5      1.6544    0.715968    0.704076  0.00460995
           5     1.68005    0.732749    0.725541  0.00345737
           5      1.7057    0.787421      0.7591  0.00700239
           5     1.73135    0.771878    0.777077   0.0031124
           5       1.757    0.793483    0.811563  0.00532464
           5     1.78265    0.832947    0.842308  0.00479007
           5      1.8083    0.881113    0.889293  0.00286556
           5     1.83395    0.928968    0.932137   0.0038376
           5      1.8596    0.976175    0.976618  0.00648522
           5     1.88525     1.02102     1.02531  0.00377041
           5      1.9109     1.04361     1.06711  0.00878805
           5     1.93655      1.0938     1.10082   0.0024944
           5      1.9622      1.1195     1.13592  0.00454652
           5     1.98785     1.13762     1.16396  0.00725773
           5      2.0135     1.16372     1.18702  0.00669634
           5     2.03915     1.18679     1.20855  0.00746477
           5      2.0648     1.19876     1.20999  0.00371924
           5     2.09045     1.21318     1.21285  0.00351478
           5      2.1161     1.20594     1.20884  0.00267931
           5     2.14174      1.2081     1.19312  0.00825755
           5     2.16739     1.19571      1.1759  0.00739305
           5     2.19304     1.15518     1.14921  0.00326718
           5     2.21869     1.12082     1.11806  0.00149158
           5     2.24434     1.07876     1.08903  0.00549571
           5     2.26999     1.05516     1.06892  0.00581724
           5     2.29564     1.03107     1.03667   0.0030066
           5     2.32129     1.01544     1.00946  0.00377219
           5     2.34694    0.980925    0.985438  0.00433328
           5     2.37259    0.967249    0.965502  0.00337003
           5     2.39824     0.94406     0.94945  0.00383307
           5     2.42389    0.941435    0.931883  0.00698975
           5     2.44954    0.924257    0.916015  0.00558704
           5     2.47519    0.913254    0.902687   0.0038835
           5     2.50084    0.909313    0.894973  0.00389547
           5     2.52649      0.9105     0.89076  0.00491115
           5     2.55214    0.899607    0.893111   0.0032398
           6   0.0128248           0           0           0
           6   0.0384745           0           0           0
           6   0.0641241           0           0           0
           6   0.0897737           0           0           0
           6    0.115423           0           0           0
           6    0.141073           0           0           0
           6    0.166723           0           0           0
           6    0.192372           0           0           0
           6    0.218022           0           0           0
           6    0.243672           0           0           0
           6    0.269321           0           0           0
           6    0.294971           0           0           0
           6     0.32062           0           0           0
           6     0.34627           0           0           0
           6     0.37192           0           0           0
           6    0.397569           0           0           0
           6    0.423219           0           0           0
           6    0.448869           0           0           0
           6    0.474518           0           0           0
           6    0.500168           0           0           0
           6    0.525818           0           0           0
           6    0.551467           0           0           0
           6    0.577117           0           0           0
           6    0.602767           0           0           0
           6    0.628416           0           0           0
           6    0.654066           0           0           0
           6    0.679715           0           0           0
           6    0.705365           0           0           0
           6    0.731015           0           0           0
           6    0.756664           0           0           0
           6    0.782314           0           0           0
           6    0.807964           0           0           0
           6    0.833613           0           0           0
           6    0.859263           0 6.15989e-05  3.6223e-05
           6    0.884913  0.00249438  0.00180354 0.000271824
           6    0.910562    0.026815    0.027072 0.000688543
           6    0.936212    0.158553    0.172807  0.00340886
           6    0.961861    0.567993    0.569882  0.00324642
           6    0.987511     1.25837     1.22029  0.00831195
           6     1.01316     1.88772     1.86927  0.00972714
           6     1.03881     2.35231      2.3484  0.00978932
           6     1.06446     2.53678     2.55124   0.0113443
           6     1.09011     2.56479     2.55186   0.0099905
           6     1.11576     2.39419     2.41509  0.00503488
           6     1.14141     2.17798     2.18767   0.0124265
           6     1.16706     1.93001     1.95288   0.0124702
           6     1.19271     1.73941     1.74966  0.00823545
           6     1.21836     1.53416     1.54521  0.00880981
           6     1.24401     1.37913     1.38405   0.0111667
           6     1.26966     1.25636     1.23954  0.00635573
           6     1.29531     1.13677     1.11014  0.00708701
           6     1.32096     1.00352     1.00951  0.00460022
           6     1.34661    0.918479    0.938103  0.00619831
           6     1.37226    0.865824    0.871731    0.003734
           6     1.39791    0.843677    0.823089  0.00585793
           6     1.42355    0.776007    0.783927  0.00541813
           6      1.4492    0.728873    0.738756  0.00433604
           6     1.47485    0.702712    0.709325  0.00330915
           6      1.5005    0.703447     0.69516  0.00397467
           6     1.52615      0.7046    0.685696  0.00573627
           6      1.5518    0.685467    0.678575  0.00448978
           6     1.57745    0.679455    0.670146  0.00569753
           6      1.6031    0.683071    0.672464  0.00466295
           6     1.62875    0.700373    0.689055  0.00576791
           6      1.6544    0.726516    0.707816  0.00513949
           6     1.68005    0.723375     0.72518  0.00289992
           6      1.7057    0.739421    0.755821  0.00655861
           6     1.73135    0.768758    0.775691  0.00288602
           6       1.757    0.813936    0.811959  0.00445186
           6     1.78265    0.859826    0.845228  0.00479972
           6      1.8083    0.880788    0.887876  0.00271606
           6     1.83395    0.932282    0.932161  0.00319808
           6      1.8596     0.97168    0.975795  0.00545632
           6     1.88525     1.00615     1.02212   0.0042863
           6      1.9109     1.07931     1.06915  0.00755488
           6     1.93655     1.09106      1.0992  0.00255461
           6      1.9622     1.12496     1.13409  0.00413917
           6     1.98785     1.16505     1.16414  0.00605037
           6      2.0135     1.18621     1.18689  0.00558164
           6     2.03915     1.20603     1.20813  0.00623242
           6      2.0648     1.21485      1.2108  0.00318618
           6     2.09045     1.20874     1.21216  0.00299484
           6      2.1161     1.20365     1.20798  0.00236814
           6     2.14174       1.209     1.19577  0.00729316
           6     2.16739     1.17099     1.17508  0.00620603
           6     2.19304     1.13681     1.14715  0.00331229
           6     2.21869     1.11806     1.11806  0.00124299
           6     2.24434     1.09513     1.09005  0.00467275
           6     2.26999     1.05326     1.06631  0.00540159
           6     2.29564     1.02766     1.03517  0.00285626
           6     2.32129     1.00407     1.00856  0.00324844
           6     2.34694    0.997301    0.987415  0.00403702
           6     2.37259    0.964613    0.965354  0.00281161
