#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         378     -5.4363    -5.65705   0.0217838
         379    -5.43954    -5.65648   0.0217339
         380    -5.44344    -5.65592   0.0216839
         381    -5.44695    -5.65537   0.0216339
         382     -5.4502    -5.65483    0.021584
         383    -5.45288     -5.6543   0.0215341
         384    -5.45589    -5.65379   0.0214842
         385    -5.45878    -5.65328   0.0214343
         386    -5.46138    -5.65278   0.0213846
         387    -5.46368    -5.65229   0.0213349
         388    -5.46613    -5.65181   0.0212853
         389    -5.46797    -5.65134   0.0212358
         390     -5.4698    -5.65088   0.0211865
         391    -5.47236    -5.65042   0.0211372
         392    -5.47443    -5.64997   0.0210881
         393    -5.47601    -5.64953   0.0210391
         394    -5.47784    -5.64909   0.0209902
         395    -5.47916    -5.64866   0.0209414
         396    -5.48025    -5.64824   0.0208929
         397    -5.48066    -5.64781   0.0208445
         398    -5.48067    -5.64739   0.0207964
         399    -5.48088    -5.64698   0.0207484
         400    -5.48084    -5.64656   0.0207007
         401    -5.48098    -5.64615   0.0206532
         402    -5.48056    -5.64574   0.0206059
         403    -5.47955    -5.64532   0.0205589
         404    -5.47813    -5.64491   0.0205122
         405    -5.47704     -5.6445   0.0204658
         406      -5.476    -5.64408   0.0204196
         407    -5.47381    -5.64366   0.0203737
         408    -5.47169    -5.64324   0.0203281
         409    -5.46907    -5.64281   0.0202829
         410    -5.46672    -5.64239   0.0202379
         411    -5.46422    -5.64195   0.0201933
         412    -5.46101    -5.64151   0.0201491
         413    -5.45787    -5.64107   0.0201052
         414    -5.45546    -5.64062   0.0200616
         415    -5.45275    -5.64017   0.0200184
         416    -5.45025    -5.63971   0.0199755
         417    -5.44784    -5.63925   0.0199329
         418     -5.4454    -5.63879   0.0198906
         419    -5.44313    -5.63832   0.0198486
         420    -5.44105    -5.63785   0.0198069
         421    -5.43949    -5.63738   0.0197655
         422    -5.43755    -5.63691   0.0197243
         423    -5.43616    -5.63643   0.0196834
         424    -5.43487    -5.63596   0.0196427
