#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         675     1.74433     1.75779   0.0132136
         676     1.74414     1.75777   0.0131941
         677     1.74388     1.75775   0.0131746
         678     1.74355     1.75773   0.0131552
         679     1.74315     1.75771   0.0131359
         680     1.74269     1.75768   0.0131166
         681     1.74217     1.75766   0.0130973
         682     1.74161     1.75764   0.0130781
         683     1.74101     1.75761    0.013059
         684     1.74038     1.75759   0.0130399
         685     1.73974     1.75756   0.0130209
         686     1.73909     1.75753    0.013002
         687     1.73847     1.75751   0.0129831
         688     1.73787     1.75748   0.0129642
         689     1.73731     1.75745   0.0129455
         690     1.73681     1.75742   0.0129267
         691     1.73639     1.75739   0.0129081
         692     1.73605     1.75736   0.0128894
         693     1.73581     1.75733   0.0128709
         694     1.73569      1.7573   0.0128524
         695     1.73568     1.75726   0.0128339
         696      1.7358     1.75723   0.0128155
         697     1.73606      1.7572   0.0127972
         698     1.73645     1.75717   0.0127789
         699       1.737     1.75714   0.0127606
         700     1.73769     1.75712   0.0127424
         701     1.73853     1.75709   0.0127243
         702     1.73951     1.75706   0.0127062
         703     1.74063     1.75704   0.0126881
         704     1.74188     1.75702   0.0126701
         705     1.74326       1.757   0.0126522
         706     1.74474     1.75698   0.0126342
         707     1.74631     1.75697   0.0126164
         708     1.74797     1.75696   0.0125986
         709     1.74969     1.75695   0.0125808
         710     1.75146     1.75694   0.0125631
         711     1.75325     1.75693   0.0125454
         712     1.75504     1.75693   0.0125278
         713     1.75681     1.75693   0.0125102
         714     1.75855     1.75693   0.0124927
         715     1.76022     1.75694   0.0124752
         716     1.76181     1.75694   0.0124578
         717      1.7633     1.75695   0.0124404
         718     1.76467     1.75696   0.0124231
         719     1.76588     1.75698   0.0124058
         720     1.76694     1.75699   0.0123886
         721     1.76782       1.757   0.0123715
         722     1.76851     1.75702   0.0123543
         723     1.76899     1.75704   0.0123373
         724     1.76926     1.75705   0.0123202
         725     1.76931     1.75707   0.0123032
         726     1.76914     1.75709   0.0122863
         727     1.76874      1.7571   0.0122694
         728     1.76811     1.75712   0.0122526
         729     1.76727     1.75713   0.0122358
         730      1.7662     1.75714    0.012219
         731     1.76492     1.75715   0.0122023
         732     1.76343     1.75716   0.0121856
         733     1.76175     1.75717    0.012169
