#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         458    -3.79177    -3.79726 0.000457112
         459    -3.79168    -3.79725 0.000456278
         460     -3.7919    -3.79724 0.000455434
         461    -3.79182    -3.79722 0.000454597
         462    -3.79205    -3.79721 0.000453751
         463    -3.79198     -3.7972 0.000452912
         464    -3.79192    -3.79719 0.000452078
         465    -3.79202    -3.79718 0.000451243
         466    -3.79197    -3.79717 0.000450413
         467    -3.79178    -3.79716 0.000449597
         468    -3.79159    -3.79715 0.000448793
         469    -3.79248    -3.79714 0.000447946
         470    -3.79292    -3.79713 0.000447083
         471    -3.79306    -3.79712 0.000446217
         472    -3.79292    -3.79711  0.00044536
         473    -3.79278     -3.7971 0.000444513
         474     -3.7928    -3.79709 0.000443667
         475    -3.79238    -3.79708 0.000442844
         476    -3.79241    -3.79707 0.000442023
         477    -3.79258    -3.79706 0.000441196
         478    -3.79291    -3.79705 0.000440359
         479    -3.79262    -3.79704 0.000439537
         480    -3.79292    -3.79703 0.000438705
         481    -3.79321    -3.79703 0.000437865
         482    -3.79347    -3.79702 0.000437019
         483    -3.79326    -3.79701 0.000436183
         484    -3.79348      -3.797 0.000435343
         485    -3.79336      -3.797  0.00043451
         486    -3.79352    -3.79699 0.000433675
         487     -3.7935    -3.79698 0.000432843
         488    -3.79315    -3.79697 0.000432028
         489    -3.79261    -3.79697 0.000431236
         490    -3.79281    -3.79696  0.00043044
         491    -3.79267    -3.79695 0.000429652
         492    -3.79281    -3.79694 0.000428861
         493    -3.79279    -3.79693 0.000428073
         494    -3.79259    -3.79692 0.000427297
         495    -3.79222    -3.79691 0.000426539
         496    -3.79215     -3.7969 0.000425788
         497    -3.79281     -3.7969  0.00042501
         498    -3.79272    -3.79689  0.00042424
         499    -3.79246    -3.79688 0.000423482
         500     -3.7922    -3.79687 0.000422739
         501    -3.79179    -3.79686 0.000422016
         502    -3.79137    -3.79685 0.000421317
         503    -3.79141    -3.79684 0.000420618
         504    -3.79131    -3.79683 0.000419927
         505    -3.79136    -3.79682 0.000419234
         506    -3.79142     -3.7968 0.000418541
         507    -3.79119    -3.79679 0.000417863
         508    -3.79097    -3.79678 0.000417197
         509    -3.79076    -3.79677 0.000416545
         510    -3.79042    -3.79676 0.000415915
         511    -3.79056    -3.79675 0.000415278
         512    -3.79041    -3.79673  0.00041465
         513    -3.78999    -3.79672  0.00041405
         514    -3.79004    -3.79671 0.000413449
         515    -3.78997    -3.79669 0.000412852
         516    -3.79023    -3.79668 0.000412242
         517    -3.78976    -3.79667 0.000411662
         518    -3.78992    -3.79666 0.000411073
         519     -3.7898    -3.79664 0.000410493
         520    -3.79031    -3.79663 0.000409885
         521    -3.79053    -3.79662 0.000409265
         522    -3.79122    -3.79661 0.000408612
         523    -3.79162     -3.7966 0.000407942
         524    -3.79158    -3.79659 0.000407276
         525    -3.79124    -3.79658 0.000406628
         526     -3.7912    -3.79657 0.000405983
         527    -3.79087    -3.79656 0.000405357
         528    -3.79098    -3.79655 0.000404727
         529     -3.7914    -3.79654 0.000404079
         530     -3.7912    -3.79653 0.000403442
         531    -3.79115    -3.79652 0.000402809
         532     -3.7914    -3.79651 0.000402167
         533    -3.79074     -3.7965 0.000401557
         534    -3.79084    -3.79649 0.000400945
         535    -3.79079    -3.79648 0.000400337
         536    -3.79104    -3.79647 0.000399718
