#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263 1.94523e-05 1.55618e-05 1.01451e-05
           5    0.884913  0.00100876  0.00132422 0.000136406
           5    0.910562   0.0226403   0.0236208 0.000672654
           5    0.936212    0.165354    0.165305  0.00144846
           5    0.961861    0.556024    0.561653  0.00348756
           5    0.987511     1.18577     1.19514  0.00474554
           5     1.01316     1.86197     1.85669  0.00601135
           5     1.03881     2.34405     2.33534   0.0034917
           5     1.06446     2.56936      2.5584  0.00294439
           5     1.09011     2.57226     2.55056  0.00725202
           5     1.11576     2.42993     2.41718  0.00393109
           5     1.14141     2.20964     2.20009  0.00433923
           5     1.16706     1.97924       1.978  0.00181425
           5     1.19271      1.7538     1.76206  0.00266704
           5     1.21836     1.56738     1.56095  0.00291453
           5     1.24401     1.38133      1.3915  0.00277648
           5     1.26966     1.24823      1.2429  0.00194342
           5     1.29531     1.11925     1.12313  0.00241019
           5     1.32096     1.02176     1.02305  0.00171453
           5     1.34661    0.942898    0.943582  0.00221887
           5     1.37226     0.87368    0.871767   0.0016732
           5     1.39791    0.816115    0.817239  0.00116884
           5     1.42355    0.767927    0.771099  0.00274711
           5      1.4492    0.727998    0.734402  0.00219866
           5     1.47485     0.70499     0.70611  0.00222239
           5      1.5005    0.678766    0.685778  0.00198282
           5     1.52615    0.670344    0.675918  0.00173568
           5      1.5518    0.661221    0.667458  0.00217615
           5     1.57745    0.661129    0.668102   0.0019575
           5      1.6031    0.671513    0.674227  0.00155483
           5     1.62875    0.680405    0.685419  0.00225915
           5      1.6544    0.696074    0.700689   0.0024167
           5     1.68005    0.720332    0.724155 0.000980696
           5      1.7057    0.745701    0.749533  0.00227773
           5     1.73135    0.779678    0.780289   0.0020935
           5       1.757    0.813941    0.817544   0.0016227
           5     1.78265    0.859008    0.856136   0.0016409
           5      1.8083    0.900251     0.89658  0.00134657
           5     1.83395    0.943111    0.939529  0.00190955
           5      1.8596    0.985549    0.980713  0.00125941
           5     1.88525      1.0244     1.02166  0.00181655
           5      1.9109     1.06291     1.05935  0.00126787
           5     1.93655     1.10267     1.09711  0.00199912
           5      1.9622     1.13292     1.13099  0.00107319
           5     1.98785      1.1685      1.1623  0.00185874
           5      2.0135     1.19043     1.18565  0.00234402
           5     2.03915     1.20801     1.20308  0.00182314
           5      2.0648     1.21524     1.21243   0.0016588
           5     2.09045     1.21951     1.21618  0.00101008
           5      2.1161     1.20975     1.21036  0.00124019
           5     2.14174     1.19545     1.19388  0.00119792
           5     2.16739     1.17479     1.17509  0.00186611
           5     2.19304      1.1519     1.14937  0.00145892
           5     2.21869     1.12413     1.12311  0.00213375
           5     2.24434     1.09499      1.0946  0.00158615
           5     2.26999     1.06372     1.06755  0.00149838
           5     2.29564     1.03691      1.0353  0.00222661
           5     2.32129     1.01229     1.01321  0.00126751
           5     2.34694    0.982081    0.986532  0.00135836
           5     2.37259    0.961661    0.965191  0.00148306
           5     2.39824    0.944849    0.946222  0.00111656
           5     2.42389    0.928461    0.927974 0.000930409
           5     2.44954    0.916135    0.917015  0.00175683
           5     2.47519    0.905258    0.906653  0.00139102
           5     2.50084    0.896197    0.895438  0.00190861
           5     2.52649    0.884198    0.885491  0.00172418
           5     2.55214    0.884305    0.886944  0.00132851
           6   0.0128248           0           0           0
           6   0.0384745           0           0           0
           6   0.0641241           0           0           0
           6   0.0897737           0           0           0
           6    0.115423           0           0           0
           6    0.141073           0           0           0
           6    0.166723           0           0           0
           6    0.192372           0           0           0
           6    0.218022           0           0           0
           6    0.243672           0           0           0
           6    0.269321           0           0           0
           6    0.294971           0           0           0
           6     0.32062           0           0           0
           6     0.34627           0           0           0
           6     0.37192           0           0           0
           6    0.397569           0           0           0
           6    0.423219           0           0           0
           6    0.448869           0           0           0
           6    0.474518           0           0           0
           6    0.500168           0           0           0
           6    0.525818           0           0           0
           6    0.551467           0           0           0
           6    0.577117           0           0           0
           6    0.602767           0           0           0
           6    0.628416           0           0           0
           6    0.654066           0           0           0
           6    0.679715           0           0           0
           6    0.705365           0           0           0
           6    0.731015           0           0           0
           6    0.756664           0           0           0
           6    0.782314           0           0           0
           6    0.807964           0           0           0
           6    0.833613           0           0           0
           6    0.859263           0 1.29682e-05 8.77951e-06
           6    0.884913  0.00161401  0.00137252 0.000121923
           6    0.910562   0.0240261   0.0236883 0.000563927
           6    0.936212    0.166943    0.165578  0.00123253
           6    0.961861    0.565354     0.56227  0.00296034
           6    0.987511     1.20815     1.19731  0.00442199
           6     1.01316     1.86926     1.85878  0.00536212
           6     1.03881      2.3305     2.33453  0.00300146
           6     1.06446     2.55272     2.55745  0.00260172
           6     1.09011     2.55124     2.55068  0.00604424
           6     1.11576     2.39109     2.41283  0.00514639
           6     1.14141     2.20575     2.20103  0.00371699
           6     1.16706     1.96301     1.97551  0.00273693
           6     1.19271     1.74859     1.75982  0.00302368
           6     1.21836     1.55503     1.55996  0.00259039
           6     1.24401     1.39327     1.39179  0.00232943
           6     1.26966     1.23894     1.24224  0.00172783
           6     1.29531     1.12119      1.1228   0.0020301
           6     1.32096     1.02308     1.02305  0.00142878
           6     1.34661    0.948688    0.944433   0.0020056
           6     1.37226    0.873527     0.87206  0.00141982
           6     1.39791    0.812623     0.81647   0.0012008
           6     1.42355    0.772945    0.771407  0.00230641
           6      1.4492    0.736957    0.734828    0.001873
           6     1.47485    0.707532    0.706347  0.00186459
           6      1.5005    0.692558    0.686908   0.0019479
           6     1.52615     0.68174    0.676888  0.00169613
           6      1.5518    0.674647    0.668656  0.00211782
           6     1.57745    0.671374    0.668647  0.00170555
           6      1.6031    0.683344    0.675746   0.0018982
           6     1.62875    0.692062    0.686526  0.00213679
           6      1.6544    0.703153    0.701099  0.00204852
           6     1.68005    0.727456    0.724705 0.000959274
           6      1.7057    0.755446    0.750518  0.00210053
           6     1.73135     0.78332    0.780794  0.00180451
           6       1.757    0.812568    0.816715  0.00154972
           6     1.78265    0.860196    0.856813   0.0015005
           6      1.8083    0.895604    0.896417  0.00113193
           6     1.83395    0.932311    0.938326  0.00193344
           6      1.8596    0.979207    0.980462  0.00107423
           6     1.88525     1.01716     1.02091  0.00166195
           6      1.9109     1.06473     1.06025   0.0013364
           6     1.93655     1.09372     1.09655  0.00174396
           6      1.9622     1.13113     1.13102 0.000894584
           6     1.98785     1.15152      1.1605  0.00225547
           6      2.0135     1.17738     1.18427  0.00232367
           6     2.03915     1.19684     1.20204  0.00179178
           6      2.0648      1.2148     1.21283  0.00142868
           6     2.09045     1.21128     1.21536  0.00112401
           6      2.1161     1.20515     1.20949  0.00130198
           6     2.14174     1.19099      1.1934  0.00109067
           6     2.16739     1.17738     1.17547   0.0015936
           6     2.19304     1.14762     1.14908  0.00124459
           6     2.21869     1.11676     1.12205  0.00202324
           6     2.24434     1.09334     1.09439  0.00133557
           6     2.26999     1.06097     1.06645  0.00160037
           6     2.29564     1.03669     1.03553  0.00186751
           6     2.32129     1.01216     1.01304  0.00106845
           6     2.34694    0.992944    0.987601  0.00149431
           6     2.37259    0.966445      0.9654  0.00125052
           6     2.39824    0.947926    0.946506 0.000965895
           6     2.42389    0.930508    0.928396 0.000865884
           6     2.44954    0.920916    0.917665  0.00157972
           6     2.47519    0.908687    0.906992   0.0011998
           6     2.50084    0.897102    0.895715  0.00161053
           6     2.52649    0.885215    0.885445  0.00143743
           6     2.55214    0.890974    0.887616  0.00126552
           7   0.0128248           0           0           0
           7   0.0384745           0           0           0
           7   0.0641241           0           0           0
           7   0.0897737           0           0           0
           7    0.115423           0           0           0
           7    0.141073           0           0           0
           7    0.166723           0           0           0
           7    0.192372           0           0           0
           7    0.218022           0           0           0
           7    0.243672           0           0           0
           7    0.269321           0           0           0
           7    0.294971           0           0           0
           7     0.32062           0           0           0
           7     0.34627           0           0           0
           7     0.37192           0           0           0
           7    0.397569           0           0           0
           7    0.423219           0           0           0
           7    0.448869           0           0           0
           7    0.474518           0           0           0
           7    0.500168           0           0           0
           7    0.525818           0           0           0
           7    0.551467           0           0           0
           7    0.577117           0           0           0
           7    0.602767           0           0           0
           7    0.628416           0           0           0
           7    0.654066           0           0           0
           7    0.679715           0           0           0
           7    0.705365           0           0           0
           7    0.731015           0           0           0
           7    0.756664           0           0           0
           7    0.782314           0           0           0
           7    0.807964           0           0           0
           7    0.833613           0           0           0
           7    0.859263           0 1.11156e-05 7.71828e-06
           7    0.884913  0.00117383  0.00134414 0.000107759
           7    0.910562   0.0237143    0.023692 0.000483378
           7    0.936212    0.156997    0.164352  0.00155053
           7    0.961861    0.550358    0.560568  0.00298676
           7    0.987511     1.18843     1.19604  0.00396821
           7     1.01316     1.85027     1.85756  0.00473197
           7     1.03881     2.33199     2.33417  0.00259456
           7     1.06446     2.54562     2.55576  0.00272472
           7     1.09011     2.57162     2.55367  0.00587493
           7     1.11576     2.41761     2.41351  0.00445634
           7     1.14141     2.20817     2.20205  0.00332294
           7     1.16706     1.98493     1.97685  0.00265671
           7     1.19271     1.76985     1.76125  0.00291175
           7     1.21836     1.56759     1.56105  0.00243922
           7     1.24401     1.39493     1.39224  0.00203939
           7     1.26966     1.24312     1.24237  0.00148557
           7     1.29531     1.12538     1.12317  0.00177314
           7     1.32096      1.0307     1.02415  0.00158806
           7     1.34661    0.943262    0.944266  0.00172605
           7     1.37226    0.877127    0.872784  0.00138932
           7     1.39791    0.813939    0.816108  0.00108232
           7     1.42355     0.77152    0.771423  0.00197698
           7      1.4492    0.741887    0.735836  0.00185723
           7     1.47485    0.700044    0.705447  0.00180255
           7      1.5005    0.684597    0.686578  0.00169738
           7     1.52615       0.669    0.675761  0.00178943
           7      1.5518    0.657517    0.667065  0.00233785
           7     1.57745    0.664806    0.668098  0.00154767
           7      1.6031    0.669205    0.674812  0.00184278
           7     1.62875    0.680768    0.685704  0.00198355
           7      1.6544    0.699165    0.700823  0.00177442
           7     1.68005    0.717539    0.723681  0.00125478
           7      1.7057    0.748772    0.750269  0.00181521
           7     1.73135    0.780244    0.780715  0.00154843
           7       1.757    0.812471    0.816108  0.00144206
           7     1.78265    0.858181    0.857008   0.0012988
           7      1.8083    0.893864    0.896052  0.00102729
           7     1.83395    0.936142    0.938014  0.00168222
           7      1.8596    0.982126    0.980699 0.000946729
           7     1.88525     1.02833     1.02197  0.00172931
           7      1.9109     1.06558     1.06101   0.0013446
           7     1.93655     1.09822     1.09679    0.001511
           7      1.9622     1.13331     1.13134 0.000824582
           7     1.98785      1.1613     1.16062  0.00193612
           7      2.0135     1.18572     1.18448  0.00200088
           7     2.03915     1.20185     1.20201    0.001536
