# generation best_length mean_best_half
528 4.7962446297 4.9891191015
529 4.7962446297 4.9787446743
530 4.7962446297 5.0318910519
531 4.7962446297 5.0790946733
532 4.7962446297 5.1241215280
533 4.7962446297 5.1430464816
534 4.7962446297 5.0494350028
535 4.7962446297 5.0329741389
536 4.7962446297 5.0335834591
537 4.7962446297 5.0599069527
538 4.7962446297 5.0481505433
539 4.7962446297 5.0451851116
540 4.7962446297 4.9804518610
541 4.7962446297 4.9857051845
542 4.7962446297 4.9276509851
543 4.7962446297 4.9416156373
544 4.7962446297 4.9724533370
545 4.7962446297 5.0145772464
546 4.7962446297 5.0352847464
547 4.7962446297 5.0553392725
548 4.7962446297 5.0884178850
549 4.7962446297 5.1215691433
550 4.7962446297 5.0371038256
551 4.7962446297 5.0156556529
552 4.7962446297 5.0342030274
553 4.7962446297 5.0141506452
554 4.7962446297 4.9368503048
555 4.7962446297 4.9348783308
556 4.7962446297 5.0386146170
557 4.7962446297 5.1016827345
558 4.7962446297 5.0074489696
559 4.7962446297 5.0581744765
560 4.7962446297 5.0435950109
561 4.7962446297 4.9966720766
562 4.7962446297 5.0779144498
563 4.7962446297 5.0614307697
564 4.7962446297 5.0505188996
565 4.7962446297 5.0835693148
566 4.7962446297 5.0451241976
567 4.7962446297 4.9759838891
568 4.7962446297 4.9915430644
569 4.7962446297 5.0057454543
570 4.7962446297 5.0021723083
571 4.7962446297 5.0133094437
572 4.7962446297 5.0091879459
573 4.7962446297 5.0341389503
574 4.7962446297 5.0103313864
575 4.7962446297 5.0145425826
576 4.7962446297 4.9874447032
577 4.7962446297 4.9924790860
578 4.7962446297 5.0443269054
579 4.7962446297 5.0273029966
580 4.7962446297 5.0381994386
581 4.7962446297 5.0349467702
582 4.7962446297 4.9840356486
583 4.7962446297 4.9861738797
584 4.7962446297 5.0682420354
585 4.7962446297 5.0486817184
586 4.7962446297 5.0110840319
587 4.7962446297 5.0655558970
588 4.7962446297 5.1102356704
589 4.7962446297 5.1438620983
590 4.7962446297 5.0615515262
591 4.7962446297 5.0630837712
592 4.7962446297 5.0017914323
593 4.7962446297 4.9894756764
594 4.7962446297 5.0037002067
595 4.7962446297 4.9976192774
596 4.7962446297 5.0489360218
597 4.7962446297 5.0947371179
598 4.7962446297 5.0515609765
599 4.7962446297 5.0480280532
600 4.7962446297 5.0524168972
601 4.7962446297 5.0845804330
602 4.7962446297 5.0409043457
603 4.7962446297 5.0802764281
604 4.7962446297 5.0540016019
605 4.7962446297 5.0409542584
606 4.7962446297 5.0245624947
607 4.7962446297 4.9767278196
608 4.7962446297 5.0061492545
609 4.7962446297 4.9281378676
610 4.7962446297 4.9133950906
611 4.7962446297 4.9690076913
612 4.7962446297 4.9894840995
613 4.7962446297 5.0037814556
614 4.7962446297 5.0112805532
615 4.7962446297 5.0217250403
616 4.7962446297 5.0271886004
617 4.7962446297 5.0615874293
618 4.7962446297 5.1389381141
619 4.7962446297 5.0926900981
620 4.7962446297 5.0419398682
621 4.7962446297 5.0046413771
622 4.7962446297 5.0836784013
623 4.7962446297 5.0052958608
624 4.7962446297 5.0875596008
625 4.7962446297 5.0670171247
626 4.7962446297 5.0425146641
627 4.7962446297 5.0756510239
628 4.7962446297 5.1060762480
629 4.7962446297 5.0524086258
630 4.7962446297 5.0072215730
631 4.7962446297 5.0238689412
632 4.7962446297 5.0099463668
633 4.7962446297 4.9797856239
634 4.7962446297 5.0538104112
635 4.7962446297 5.0165707340
636 4.7962446297 5.0432899064
637 4.7962446297 5.0172955467
638 4.7962446297 5.0800538444
639 4.7962446297 5.0772452742
640 4.7962446297 5.0506113779
641 4.7962446297 5.0981777473
642 4.7962446297 5.0667900122
643 4.7962446297 5.0607795049
644 4.7962446297 5.0468653944
645 4.7962446297 4.9804182794
646 4.7962446297 5.0109003392
647 4.7962446297 5.0188044151
648 4.7962446297 5.0085298417
649 4.7962446297 5.0625699173
650 4.7962446297 4.9988228077
651 4.7962446297 4.9691279039
652 4.7962446297 5.0395212473
653 4.7962446297 5.0438159760
654 4.7962446297 5.0303142594
655 4.7962446297 5.1177301285
656 4.7962446297 5.0661218757
657 4.7962446297 5.0103601177
658 4.7962446297 4.9532250333
659 4.7962446297 5.0113453703
660 4.7962446297 4.9985085769
661 4.7962446297 5.0247716711
662 4.7962446297 5.0886619770
663 4.7962446297 5.0762071881
664 4.7962446297 5.0164087206
665 4.7962446297 5.0083066556
666 4.7962446297 5.0743232150
667 4.7962446297 5.0164707933
668 4.7962446297 4.9645986601
669 4.7962446297 4.9790027271
670 4.7962446297 5.0430317360
671 4.7962446297 5.0640978444
672 4.7962446297 5.0344904858
673 4.7962446297 5.0279704536
674 4.7962446297 5.0641438780
675 4.7962446297 5.0643703609
676 4.7962446297 5.0887988282
677 4.7962446297 5.0598010492
678 4.7962446297 5.0227107379
679 4.7962446297 4.9887816467
680 4.7962446297 5.0146724656
681 4.7962446297 5.0184548910
682 4.7962446297 5.0077824557
683 4.7962446297 5.1016336808
684 4.7962446297 5.0022172817
685 4.7962446297 4.9980386599
686 4.7962446297 5.0300501393
687 4.7962446297 5.0438594007
688 4.7962446297 5.0095312977
689 4.7962446297 5.0278245802
690 4.7962446297 5.0176190337
691 4.7962446297 5.0160524265
692 4.7962446297 5.0859829684
693 4.7962446297 5.0937958317
694 4.7962446297 5.0971550335
695 4.7962446297 5.0555958689
696 4.7962446297 5.0641698107
697 4.7962446297 5.1270821056
698 4.7962446297 5.1275989337
699 4.7962446297 5.1382997527
700 4.7962446297 5.0118926031
701 4.7962446297 5.0474828569
702 4.7962446297 5.0534386521
703 4.7962446297 5.0737608626
704 4.7962446297 5.0447495828
705 4.7962446297 5.1005631700
706 4.7962446297 5.0823891963
707 4.7962446297 5.0750310123
708 4.7962446297 5.0362179522
709 4.7962446297 4.9756864130
710 4.7962446297 5.0020842963
711 4.7962446297 5.0058223223
712 4.7962446297 4.9761404934
713 4.7962446297 5.0924335967
714 4.7962446297 5.0609468179
715 4.7962446297 5.0610603964
716 4.7962446297 5.0540206846
717 4.7962446297 5.0244026255
718 4.7962446297 5.0154099057
719 4.7962446297 5.0065880703
720 4.7962446297 4.9889498714
721 4.7962446297 5.0130500860
722 4.7962446297 5.0164757408
723 4.7962446297 5.0198603932
724 4.7962446297 5.0543351093
725 4.7962446297 5.0117819227
726 4.7962446297 4.9525533671
727 4.7962446297 5.0525605593
728 4.7962446297 5.0239336619
729 4.7962446297 5.0752525700
730 4.7962446297 5.0089903471
731 4.7962446297 5.0129294451
732 4.7962446297 4.9936648465
733 4.7962446297 4.9992498365
734 4.7962446297 5.0192632218
735 4.7962446297 5.0599644467
736 4.7962446297 5.1094383915
737 4.7962446297 5.0457763544
738 4.7962446297 5.0728946908
739 4.7962446297 5.1009930096
740 4.7962446297 5.0476663564
741 4.7962446297 5.0616756915
742 4.7962446297 5.0511325277
743 4.7962446297 5.0145273806
744 4.7962446297 4.9665446514
745 4.7962446297 4.9898549208
746 4.7962446297 5.0261769350
747 4.7962446297 5.0220297714
748 4.7962446297 5.0376916996
749 4.7962446297 5.0838304531
750 4.7962446297 5.1053388431
751 4.7962446297 5.0987635725
752 4.7962446297 5.0638715481
753 4.7962446297 5.0593627373
754 4.7962446297 4.9970148301
755 4.7962446297 5.0254627396
756 4.7962446297 5.0155479062
757 4.7962446297 4.9879816350
758 4.7962446297 4.9559391796
759 4.7962446297 5.0161553179
760 4.7962446297 4.9919548217
761 4.7962446297 4.9783154482
762 4.7962446297 5.0234719787
763 4.7962446297 5.0770586588
764 4.7962446297 5.1149000460
765 4.7962446297 5.0558795117
766 4.7962446297 5.0680187171
767 4.7962446297 4.9816408400
768 4.7962446297 4.9467935253
769 4.7962446297 5.0083361188
770 4.7962446297 5.0681428633
771 4.7962446297 5.0357164974
772 4.7962446297 5.0166649816
773 4.7962446297 4.9866744626
774 4.7962446297 5.0781119996
775 4.7962446297 5.0705989121
776 4.7962446297 5.0090627076
777 4.7962446297 5.0172505592
778 4.7962446297 5.0191626075
779 4.7962446297 5.0875426962
780 4.7962446297 5.0567449555
781 4.7962446297 5.0933500062
782 4.7962446297 5.0672092589
783 4.7962446297 5.1665171349
784 4.7962446297 5.1301615397
785 4.7962446297 5.1237487708
786 4.7962446297 5.1037124474
787 4.7962446297 5.1112259310
788 4.7962446297 5.1312085588
789 4.7962446297 5.0894773183
790 4.7962446297 5.0805362787
791 4.7962446297 5.0737996845
792 4.7962446297 5.0547279463
793 4.7962446297 5.0141731294
794 4.7962446297 4.9771022626
795 4.7962446297 5.0028733015
796 4.7962446297 4.9503781651
797 4.7962446297 4.9859693258
798 4.7962446297 4.9968120527
799 4.7962446297 5.0497673815
800 4.7962446297 5.0908695795
801 4.7962446297 5.0364706704
802 4.7962446297 5.0340271844
803 4.7962446297 5.0563825207
804 4.7962446297 4.9979203798
805 4.7962446297 5.0050924681
806 4.7962446297 4.9882343843
807 4.7962446297 4.9963876930
808 4.7962446297 5.0134663560
809 4.7962446297 4.9934301872
810 4.7962446297 5.0511542700
811 4.7962446297 5.0201496789
812 4.7962446297 5.0349441329
813 4.7962446297 5.0716992969
814 4.7962446297 4.9847185412
815 4.7962446297 5.0414904279
816 4.7962446297 5.1100537522
817 4.7962446297 5.0846849087
818 4.7962446297 5.1411946863
819 4.7962446297 5.0721674446
820 4.7962446297 5.0692793629
821 4.7962446297 5.0932513253
822 4.7962446297 5.1636061684
823 4.7962446297 5.0990557316
824 4.7962446297 4.9861165090
825 4.7962446297 4.9553042205
826 4.7962446297 5.0112387360
827 4.7962446297 4.9993277421
828 4.7962446297 5.0621611493
829 4.7962446297 5.0775176884
830 4.7962446297 5.0332141963
831 4.7962446297 4.9810755402
832 4.7962446297 5.0331068594
833 4.7962446297 4.9678737570
834 4.7962446297 4.9758610962
835 4.7962446297 5.0483503216
836 4.7962446297 5.0053817616
837 4.7962446297 5.0160479298
838 4.7962446297 5.0173383251
839 4.7962446297 5.0324649741
840 4.7962446297 5.0049700334
841 4.7962446297 5.0426003942
842 4.7962446297 4.9846655000
843 4.7962446297 5.0880713746
844 4.7962446297 5.0585528237
845 4.7962446297 5.0075276948
846 4.7962446297 5.0144009831
847 4.7962446297 5.0534014477
848 4.7962446297 5.0952777081
849 4.7962446297 5.0165382492
850 4.7962446297 4.9556269806
851 4.7962446297 4.9710323820
852 4.7962446297 5.0503945225
853 4.7962446297 5.0646477571
854 4.7962446297 5.1012736881
855 4.7962446297 5.1309591721
856 4.7962446297 5.0622030297
857 4.7962446297 5.0181048687
858 4.7962446297 5.0253775592
859 4.7962446297 4.9720081062
860 4.7962446297 4.9958338050
861 4.7962446297 5.1254960471
862 4.7962446297 5.0791083651
863 4.7962446297 5.0643254295
864 4.7962446297 5.0085697614
865 4.7962446297 5.0600109807
866 4.7962446297 4.9780018629
867 4.7962446297 4.9792464957
868 4.7962446297 5.0229641089
869 4.7962446297 4.9568758979
870 4.7962446297 4.9532050814
