#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         662     1.66481     1.05789   0.0310626
         663     1.49491     1.05855   0.0310227
         664     1.69433     1.05951   0.0309908
         665     1.92006      1.0608   0.0309712
         666     1.54667     1.06153   0.0309333
         667     1.36122     1.06198   0.0308902
         668     1.97826     1.06335   0.0308744
         669     1.86179     1.06454   0.0308513
         670     1.91044     1.06581   0.0308311
         671     1.41161     1.06632   0.0307894
         672     1.11293     1.06639   0.0307437
         673     1.17093     1.06655   0.0306984
         674     1.11243     1.06661   0.0306529
         675    0.543112     1.06584   0.0306173
         676    0.971928      1.0657   0.0305723
         677    0.455824      1.0648   0.0305404
         678      0.6497     1.06419   0.0305015
         679    0.511749     1.06337   0.0304675
         680    0.425644     1.06244   0.0304371
         681    0.488952     1.06159    0.030404
         682  -0.0964432      1.0599   0.0304068
         683    0.243608      1.0587   0.0303858
         684    0.590931     1.05802   0.0303491
         685    0.161735     1.05671    0.030333
         686    0.112815     1.05533   0.0303199
         687  -0.0092083     1.05378   0.0303154
         688    0.121362     1.05243   0.0303016
         689    0.315261     1.05136   0.0302765
         690    0.547185     1.05063   0.0302414
         691    0.665194     1.05007   0.0302028
         692     0.97601     1.04996   0.0301593
         693    0.794576     1.04959   0.0301181
         694    0.565157     1.04889   0.0300828
         695    0.926663     1.04872     0.03004
         696    0.692254     1.04821   0.0300012
         697    0.758098     1.04779    0.029961
         698    0.725462     1.04733   0.0299217
         699    0.740826     1.04689   0.0298821
         700    0.900474     1.04668   0.0298401
         701     1.24026     1.04696   0.0297988
         702     1.32197     1.04735    0.029759
         703    0.972015     1.04724   0.0297168
         704     0.81342     1.04691   0.0296765
         705    0.593113     1.04627   0.0296414
         706    0.641262     1.04569   0.0296049
         707    0.237037     1.04455   0.0295851
         708    0.367711     1.04359   0.0295588
         709    0.101154     1.04226    0.029547
         710    0.280856     1.04119   0.0295248
         711    0.134122     1.03992   0.0295108
         712    0.802947     1.03958   0.0294713
         713    0.701459     1.03911   0.0294337
         714    0.746974      1.0387   0.0293954
         715    0.848744     1.03843   0.0293555
         716     1.44429       1.039   0.0293199
         717     2.01469     1.04036   0.0293106
         718       1.532     1.04105   0.0292778
         719     1.79665      1.0421   0.0292559
         720     1.58865     1.04286   0.0292251
         721     1.63643     1.04368   0.0291962
         722     1.72463     1.04462    0.029171
         723     2.13446     1.04613   0.0291695
