#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         393     1.72969     1.89695   0.0214495
         394     1.73073     1.89652   0.0213992
         395     1.73152     1.89611   0.0213491
         396     1.73207     1.89569   0.0212992
         397     1.73235     1.89528   0.0212495
         398     1.73237     1.89487   0.0212001
         399     1.73211     1.89446   0.0211509
         400     1.73157     1.89406   0.0211019
         401     1.73074     1.89365   0.0210532
         402     1.72963     1.89324   0.0210048
         403     1.72824     1.89283   0.0209567
         404     1.72657     1.89242   0.0209088
         405     1.72464     1.89201   0.0208613
         406     1.72247     1.89159   0.0208141
         407     1.72009     1.89117   0.0207672
         408     1.71751     1.89074   0.0207207
         409     1.71477     1.89031   0.0206745
         410      1.7119     1.88988   0.0206287
         411     1.70895     1.88944   0.0205832
         412     1.70597     1.88899    0.020538
         413     1.70299     1.88854   0.0204932
         414     1.70006     1.88808   0.0204488
         415     1.69722     1.88762   0.0204047
         416     1.69451     1.88716   0.0203609
         417     1.69197     1.88669   0.0203175
         418     1.68964     1.88622   0.0202743
         419     1.68753     1.88575   0.0202315
         420     1.68566     1.88527   0.0201889
         421     1.68405     1.88479   0.0201466
         422     1.68268     1.88431   0.0201046
         423     1.68156     1.88383   0.0200628
         424     1.68066     1.88335   0.0200212
         425     1.67997     1.88288   0.0199798
         426     1.67946      1.8824   0.0199386
         427     1.67908     1.88192   0.0198976
         428     1.67882     1.88145   0.0198567
         429     1.67862     1.88097   0.0198161
         430     1.67845      1.8805   0.0197756
         431     1.67827     1.88003   0.0197353
         432     1.67805     1.87957   0.0196951
         433     1.67777      1.8791   0.0196552
         434     1.67738     1.87864   0.0196154
         435     1.67687     1.87817   0.0195758
         436     1.67623     1.87771   0.0195363
         437     1.67545     1.87725   0.0194971
         438     1.67451     1.87678   0.0194581
         439     1.67341     1.87632   0.0194193
         440     1.67217     1.87586   0.0193807
         441     1.67079     1.87539   0.0193423
         442     1.66927     1.87493   0.0193042
         443     1.66764     1.87446   0.0192663
         444     1.66591     1.87399   0.0192286
         445     1.66409     1.87352   0.0191912
         446     1.66221     1.87304    0.019154
         447     1.66028     1.87257   0.0191171
         448     1.65832     1.87209   0.0190804
         449     1.65636     1.87161   0.0190439
