# VELOCITY:     AVE_POFV:        ERROR:
       1.575     0.52356   0.0369528
       1.725    0.519645   0.0300474
       1.875    0.433719   0.0275157
       2.025    0.431163   0.0263316
       2.175    0.359079   0.0192933
       2.325    0.339995     0.01395
       2.475    0.337315   0.0462453
       2.625    0.345705   0.0482433
       2.775    0.290242   0.0259375
       2.925    0.234552   0.0242213
       3.075    0.210725   0.0190158
       3.225     0.12302   0.0169935
       3.375    0.151368   0.0160227
       3.525     0.09518   0.0152427
       3.675   0.0762809  0.00936649
       3.825   0.0473663  0.00804517
       3.975   0.0290226  0.00690707
       4.125   0.0255813  0.00812746
       4.275   0.0110494  0.00409889
       4.425  0.00613683  0.00304556
       4.575  0.00309156  0.00195934
       4.725  0.00192387  0.00138728
       4.875  0.00109053 0.000813321
       5.025 0.000473251  0.00030764
       5.175  0.00037037 0.000279866
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075   0.0027018  0.00139918
       0.225   0.0197673  0.00442398
       0.375   0.0518898  0.00683667
       0.525    0.092151   0.0118479
       0.675    0.145598   0.0114108
       0.825     0.21661   0.0231101
       0.975    0.262061   0.0255983
       1.125    0.369544   0.0299897
       1.275    0.455883   0.0332319
       1.425    0.505807   0.0357642
       1.575    0.532341   0.0351382
       1.725    0.518552   0.0277559
       1.875    0.431097   0.0255238
       2.025    0.417949   0.0274219
       2.175    0.352545   0.0188833
       2.325    0.330394   0.0158398
       2.475    0.324069   0.0445445
       2.625    0.339919   0.0448779
       2.775    0.296975    0.024801
       2.925    0.226311    0.023719
       3.075    0.210826   0.0175533
       3.225    0.122104   0.0157109
       3.375    0.146135   0.0156215
       3.525   0.0958357   0.0140843
       3.675   0.0745062  0.00881252
       3.825   0.0509069  0.00816836
       3.975   0.0277018  0.00650082
       4.125    0.024207  0.00761757
       4.275   0.0101994  0.00387071
       4.425  0.00566477  0.00284763
       4.575  0.00285375  0.00182299
       4.725  0.00177588  0.00128844
       4.875  0.00100665 0.000755072
       5.025 0.000436847 0.000286121
       5.175  0.00034188 0.000259784
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00250882  0.00131248
       0.225   0.0184039  0.00431298
       0.375   0.0482496  0.00725303
       0.525   0.0997795   0.0132315
       0.675    0.154356   0.0135459
       0.825    0.220031   0.0217111
       0.975    0.275097   0.0268851
       1.125    0.375419   0.0284171
       1.275    0.453479   0.0309451
       1.425    0.510785   0.0335542
       1.575    0.532024   0.0326298
       1.725    0.517756   0.0257847
       1.875    0.425075   0.0244007
       2.025    0.409608   0.0267017
       2.175    0.352593   0.0175346
       2.325    0.331847   0.0147749
       2.475    0.313907   0.0425062
       2.625    0.332937   0.0422121
       2.775    0.305419   0.0244245
       2.925    0.227804   0.0220718
       3.075    0.214868   0.0167583
       3.225    0.118545   0.0149863
       3.375    0.137288   0.0168252
       3.525   0.0911199   0.0138453
       3.675   0.0730026  0.00831032
       3.825   0.0496649  0.00767876
       3.975   0.0284832  0.00608326
       4.125   0.0241843  0.00707349
       4.275   0.0106966  0.00362602
       4.425  0.00578042  0.00264658
       4.575  0.00264991  0.00170414
       4.725  0.00164903  0.00120264
       4.875 0.000934744 0.000704553
       5.025 0.000405644  0.00026738
       5.175  0.00031746 0.000242373
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00242387  0.00122772
       0.225   0.0178683  0.00405856
       0.375   0.0470947  0.00686083
       0.525     0.10416   0.0130546
       0.675    0.155309   0.0126763
       0.825    0.216753   0.0205096
       0.975    0.274774   0.0250947
       1.125    0.388012     0.02918
       1.275     0.46644   0.0314797
       1.425    0.511477   0.0313244
       1.575    0.529444   0.0305562
       1.725     0.52207    0.024424
       1.875    0.426745    0.022831
