# VELOCITY:     BLOCK_POFV:
1.19 0.743188
1.33 0.716733
1.47 0.587831
1.61 0.512566
1.75 0.360251
1.89 0.280688
2.03 0.178902
2.17 0.127315
2.31 0.0714947
2.45 0.0439153
2.59 0.021627
2.73 0.0121693
2.87 0.00224868
3.01 0.00337302
3.15 0.0037037
3.29 0.0021164
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0101852
0.21 0.0746032
0.35 0.203638
0.49 0.301852
0.63 0.493519
0.77 0.660979
0.91 0.807011
1.05 0.819841
1.19 0.853968
1.33 0.722222
1.47 0.550595
1.61 0.507672
1.75 0.36541
1.89 0.259392
2.03 0.185714
2.17 0.127447
2.31 0.0694444
2.45 0.0484788
2.59 0.0374339
2.73 0.0158069
2.87 0.00608466
3.01 0.00376984
3.15 0.00595238
3.29 0.00502646
3.43 0.00185185
3.57 0.00198413
3.71 0.00297619
3.85 0
3.99 0
4.13 0

0.07 0.0128968
0.21 0.0999339
0.35 0.223214
0.49 0.407937
0.63 0.574934
0.77 0.63578
0.91 0.745899
1.05 0.729762
1.19 0.738029
1.33 0.645304
1.47 0.58459
1.61 0.555886
1.75 0.387698
1.89 0.282275
2.03 0.197354
2.17 0.136772
2.31 0.0810847
2.45 0.0523148
2.59 0.0236111
2.73 0.0187831
2.87 0.00568783
3.01 0.00310847
3.15 0
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0109788
0.21 0.070172
0.35 0.16627
0.49 0.322024
0.63 0.495833
0.77 0.637897
0.91 0.741799
1.05 0.857077
1.19 0.762169
1.33 0.718452
1.47 0.569048
1.61 0.571958
1.75 0.424669
1.89 0.278836
2.03 0.193915
2.17 0.128902
2.31 0.0784392
2.45 0.0650132
2.59 0.0232804
2.73 0.0188492
2.87 0.00727513
3.01 0
3.15 0
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0152116
0.21 0.0853836
0.35 0.215807
0.49 0.378704
0.63 0.531019
0.77 0.647817
0.91 0.766204
1.05 0.815344
1.19 0.744511
1.33 0.642857
1.47 0.587302
1.61 0.515476
1.75 0.382474
1.89 0.286839
2.03 0.195899
2.17 0.116005
2.31 0.108664
2.45 0.0548942
2.59 0.0345238
2.73 0.00568783
2.87 0.00449735
3.01 0.00403439
3.15 0.000661376
3.29 0.000793651
3.43 0.00138889
3.57 0.000859788
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0134259
0.21 0.0637566
0.35 0.168519
0.49 0.294841
0.63 0.520833
0.77 0.73955
0.91 0.756151
1.05 0.765278
1.19 0.759325
1.33 0.701653
1.47 0.623677
1.61 0.490608
1.75 0.39332
1.89 0.27963
2.03 0.207077
2.17 0.121958
2.31 0.0882275
2.45 0.0796958
2.59 0.0334656
2.73 0.0187831
2.87 0.0145503
3.01 0.00469577
3.15 0.000727513
3.29 0.000859788
3.43 0.00145503
3.57 0.000793651
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0098545
0.21 0.0888889
0.35 0.178638
0.49 0.366336
0.63 0.509325
0.77 0.670833
0.91 0.750992
1.05 0.873611
1.19 0.787169
1.33 0.656812
1.47 0.560053
1.61 0.481614
1.75 0.362698
1.89 0.289153
2.03 0.17414
2.17 0.133929
2.31 0.0910053
2.45 0.0684524
2.59 0.0331349
2.73 0.0166667
2.87 0.0126323
3.01 0.0082672
3.15 0.0042328
3.29 0.00337302
3.43 0.00310847
3.57 0.00621693
3.71 0.00171958
3.85 0
3.99 0
4.13 0

0.07 0.00740741
0.21 0.0683201
0.35 0.208664
0.49 0.384921
0.63 0.541601
0.77 0.694312
0.91 0.756481
1.05 0.756548
1.19 0.806614
1.33 0.723214
1.47 0.554762
1.61 0.45787
1.75 0.351124
1.89 0.259921
2.03 0.208796
2.17 0.146759
2.31 0.0896164
2.45 0.053836
2.59 0.0344577
2.73 0.0175926
2.87 0.0098545
3.01 0.00403439
3.15 0.00615079
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00899471
0.21 0.0623677
0.35 0.201653
0.49 0.350728
0.63 0.513161
0.77 0.651852
0.91 0.812235
1.05 0.819378
1.19 0.780489
1.33 0.676984
1.47 0.577778
1.61 0.505423
1.75 0.386574
1.89 0.279365
2.03 0.186574
2.17 0.135119
2.31 0.100331
2.45 0.0535053
2.59 0.0236772
2.73 0.00641534
2.87 0.00436508
3.01 0.00165344
3.15 0.000793651
3.29 0.00112434
3.43 0.00231481
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0101852
0.21 0.0820106
0.35 0.205622
0.49 0.400198
0.63 0.511772
0.77 0.67209
0.91 0.758995
1.05 0.702315
1.19 0.739021
1.33 0.692659
1.47 0.549008
1.61 0.478108
1.75 0.419775
1.89 0.316005
2.03 0.200463
2.17 0.139021
2.31 0.118915
2.45 0.0667989
2.59 0.0305556
2.73 0.0242063
2.87 0.012037
3.01 0.0100529
3.15 0.00165344
3.29 0.00138889
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0150132
0.21 0.0702381
0.35 0.199206
0.49 0.360714
0.63 0.555093
0.77 0.660714
0.91 0.771495
1.05 0.861177
1.19 0.725
1.33 0.665476
1.47 0.562434
1.61 0.486177
1.75 0.421296
1.89 0.293915
2.03 0.19127
2.17 0.142791
2.31 0.0660053
2.45 0.0482143
2.59 0.0179894
2.73 0.0103175
2.87 0.0132937
3.01 0.00324074
3.15 0.00178571
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0230159
0.21 0.102249
0.35 0.190476
0.49 0.370635
0.63 0.539749
0.77 0.65754
0.91 0.726389
1.05 0.793651
1.19 0.777447
1.33 0.70172
1.47 0.558466
1.61 0.443519
1.75 0.413889
1.89 0.292659
2.03 0.183069
2.17 0.115675
2.31 0.0959656
2.45 0.0627646
2.59 0.0353836
2.73 0.0246693
2.87 0.021627
3.01 0.00866402
3.15 0.00363757
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.013955
0.21 0.109193
0.35 0.216402
0.49 0.332143
0.63 0.484854
0.77 0.671296
0.91 0.758135
1.05 0.784325
1.19 0.715542
1.33 0.691402
1.47 0.598611
1.61 0.475265
1.75 0.36422
1.89 0.315212
2.03 0.225
2.17 0.168122
2.31 0.108069
2.45 0.0496693
2.59 0.0296958
2.73 0.0125
2.87 0.0103175
3.01 0.0015873
3.15 0.00304233
3.29 0.00112434
3.43 0.00284392
3.57 0.000330688
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0157407
0.21 0.0916667
0.35 0.233069
0.49 0.393783
0.63 0.534524
0.77 0.69504
0.91 0.741865
1.05 0.777513
1.19 0.778241
1.33 0.666865
1.47 0.547024
1.61 0.463029
1.75 0.378241
1.89 0.275595
2.03 0.187566
2.17 0.143783
2.31 0.0981481
2.45 0.0414683
2.59 0.0297619
2.73 0.0196429
2.87 0.0107143
3.01 0.00436508
3.15 0.00462963
3.29 0.00628307
3.43 0.00429894
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00740741
0.21 0.0646825
0.35 0.178968
0.49 0.363955
0.63 0.56164
0.77 0.659325
0.91 0.743783
1.05 0.801389
1.19 0.757804
1.33 0.66045
1.47 0.596958
1.61 0.544643
1.75 0.395304
1.89 0.298016
2.03 0.195172
2.17 0.126587
2.31 0.0854497
2.45 0.0464286
2.59 0.0263889
2.73 0.0142857
2.87 0.00654762
3.01 0.00714286
3.15 0.000529101
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0160053
0.21 0.107341
0.35 0.194312
0.49 0.327712
0.63 0.529101
0.77 0.674405
0.91 0.722288
1.05 0.771164
1.19 0.76131
1.33 0.764881
1.47 0.636574
1.61 0.526389
1.75 0.374008
1.89 0.249339
2.03 0.178307
2.17 0.108929
2.31 0.0815476
2.45 0.0478836
2.59 0.0345238
2.73 0.0166667
2.87 0.00608466
3.01 0.0031746
3.15 0.00522487
3.29 0.00462963
3.43 0.0010582
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00456349
0.21 0.080754
0.35 0.206878
0.49 0.376058
0.63 0.567857
0.77 0.684392
0.91 0.812632
1.05 0.730952
1.19 0.720966
1.33 0.696759
1.47 0.547817
1.61 0.48082
1.75 0.422222
1.89 0.293452
2.03 0.208003
2.17 0.138095
2.31 0.0722222
2.45 0.0330026
2.59 0.0187831
2.73 0.0242063
2.87 0.0101852
3.01 0.00396825
3.15 0.00238095
3.29 0.00502646
3.43 0.000859788
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0210979
0.21 0.0869048
0.35 0.189815
0.49 0.366071
0.63 0.522751
0.77 0.638624
0.91 0.791601
1.05 0.784061
1.19 0.81078
1.33 0.726653
1.47 0.566138
1.61 0.4625
1.75 0.352447
1.89 0.280291
2.03 0.207937
2.17 0.118981
2.31 0.0777116
2.45 0.0617063
2.59 0.0236772
2.73 0.0323413
2.87 0.0156746
3.01 0.00238095
3.15 0.00218254
3.29 0.000529101
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

