# VELOCITY:     AVE_POFV:        ERROR:
        1.05    0.771969  0.00703633
        1.19    0.754568  0.00891256
        1.33    0.684353  0.00604549
        1.47    0.593534  0.00571892
        1.61    0.497594  0.00623006
        1.75    0.389293  0.00533168
        1.89    0.284198  0.00447852
        2.03    0.198105   0.0042867
        2.17    0.135194  0.00293286
        2.31   0.0828932  0.00280597
        2.45   0.0513273  0.00188164
        2.59   0.0312169  0.00150182
        2.73     0.01723  0.00105615
        2.87   0.0107918 0.000816667
        3.01  0.00608009 0.000615805
        3.15  0.00269568 0.000508791
        3.29 0.000994344 0.000366752
        3.43 0.000367178 0.000173823
        3.57 0.000216658 0.000121661
        3.71 0.000120872 8.79775e-05
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0120877 0.000809769
        0.21   0.0852844  0.00247523
        0.35    0.209707  0.00407928
        0.49    0.368677  0.00504857
        0.63    0.531746  0.00628911
        0.77    0.669854  0.00633532
        0.91    0.754017  0.00731048
        1.05    0.775013  0.00743117
        1.19     0.75453  0.00861555
        1.33    0.684067   0.0058507
        1.47    0.593148  0.00554133
        1.61    0.496693  0.00608717
        1.75    0.388232  0.00525839
        1.89    0.283294  0.00441954
        2.03    0.197665  0.00416628
        2.17    0.135029  0.00283977
        2.31   0.0830159  0.00271512
        2.45   0.0511023  0.00183232
        2.59   0.0313668  0.00145923
        2.73   0.0171737  0.00102244
        2.87   0.0105489 0.000824773
        3.01  0.00631173 0.000637355
        3.15  0.00264991 0.000493886
        3.29 0.000961199 0.000356022
        3.43 0.000354938 0.000168459
        3.57 0.000209436  0.00011782
        3.71 0.000116843 8.51372e-05
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0120797 0.000783687
        0.21    0.085134  0.00239995
        0.35    0.210183   0.0039754
        0.49    0.369289   0.0049226
        0.63      0.5322  0.00610263
        0.77     0.67069  0.00618585
        0.91     0.75403  0.00707467
        1.05    0.776071  0.00726634
        1.19     0.75445    0.008338
        1.33    0.683146  0.00573414
        1.47    0.590796  0.00584041
        1.61     0.49603  0.00592686
        1.75    0.387814  0.00510538
        1.89    0.282881  0.00429619
        2.03    0.197075  0.00407349
        2.17    0.135025  0.00274817
